,0
0,0.0011093281631874689
1,0.00019753717176508676
2,2.8445782968442834e-06
3,0.00024876257571334015
4,0.00011860805328112874
5,0.0002605243792939861
6,0.00016461039823963591
7,0.000395060995498878
8,0.0006225195773515976
9,5.820066004694117e-05
10,0.00046440246375692586
11,8.421831224795746e-05
12,0.00040794653236853143
13,0.0016910409651970163
14,0.0007620018737291577
15,0.0008949653405600921
16,8.504413194608003e-05
17,8.32979476045018e-07
18,0.0013683845657250517
19,2.6671740236950278e-05
20,3.2193913118988274e-05
21,0.0005036501660860063
22,1.2079665344660632e-05
23,5.6083342208441805e-05
24,0.0007386814048732524
25,0.001136126154666563
26,0.00011709166316749605
27,0.003191851100809078
28,2.4360981104272315e-05
29,0.007840623233911537
30,0.0010801894057619597
31,0.003583574389093211
32,0.0008360861008002144
33,0.0005972903877430901
34,0.0007362159519931329
35,0.0033311491572021812
36,5.7276271791803715e-05
37,0.002341132507728218
38,0.001716161854234112
39,2.7437584395746945e-05
40,0.004648831766946102
41,0.0006078415666023168
42,0.009026880520749266
43,0.0009736899342941402
44,1.2573531506973541e-05
45,0.0023808314065124473
46,2.8431924288949722e-05
47,0.002941394621494801
48,0.00422132653787279
49,0.0012485695479105877
50,0.00016606184453924513
51,0.0003438984638709395
52,0.002351138807495768
53,0.00528773444426135
54,0.005045782824709234
55,0.00950695630811309
56,0.003495441783701559
57,0.005914371543217174
58,0.0003677422208836693
59,0.000332373100768384
60,0.0034788970939892737
61,0.003155383894131978
62,7.609789917159721e-06
63,0.00021766849822323824
64,0.00037467118247089536
65,0.002280540641247607
66,0.009394048586174064
67,0.00015014998778291205
68,0.00041509204515361955
69,0.00017498252378567828
70,0.0006239655259500434
71,0.0013575185585988552
72,0.00010080610787772998
73,4.679847167155383e-05
74,0.0010252487983851632
75,0.00031548486276614346
76,0.00020406947376024707
77,0.0005272532607101747
78,0.0001746423151490968
79,6.263572939282357e-07
80,0.002027086953782206
81,0.0029365875081696605
82,0.00017014734843993085
83,0.0007960532120799502
84,0.0007508924176495054
85,0.0005192002980206424
86,0.0012485899872243652
87,0.0008143329963670862
88,0.0004094779880934089
89,2.7608461171217165e-05
90,0.00013119295612734093
91,0.004533976020507547
92,0.00038014151065256436
93,0.001582747219772397
94,0.008183456557315921
95,0.00019710511849902701
96,3.868314882013521e-05
97,0.0028980959388863357
98,0.0007454643362851881
99,0.0015750251346373003
100,0.0006600831962728087
101,0.0003729703329958967
102,1.9502703961763836e-06
103,0.0013331132856301536
104,0.00023277611534875642
105,0.00909251038683847
106,0.0009443795730473267
107,0.004066751966123184
108,0.0003966960680679123
109,0.003546728711479354
110,0.0008271291896750145
111,0.002328375605117707
112,0.0017792403985327169
113,0.004317816834663184
114,1.1280255222881187e-05
115,0.0009850149539185626
116,3.2386597508834576e-05
117,0.0012848559973040604
118,0.0013025794612780428
119,0.0009269296447577139
120,0.00011508821217706138
121,2.65778270180229e-06
122,1.3366514218902367e-05
123,0.0005943549755723791
124,0.000493781431080076
125,0.0006948388353260822
126,1.2833966454109782e-05
127,6.704973334836842e-06
128,0.0007448020280454332
129,0.0012854437809820183
130,0.0005718413434291494
131,0.0008548641703684518
132,4.9526220789100144e-05
133,0.0018131428348487856
134,0.003205224399808256
135,0.00040605909201847586
136,0.0027466205456915644
137,0.00029482063055022683
138,0.0005675064120248328
139,0.0002954904818014309
140,0.00020604108556859877
141,0.004528838701981319
142,0.00046901198105308786
143,0.001802910943070231
144,8.954018722164311e-06
145,5.126375214841573e-05
146,0.00024611264588437636
147,0.00017303133417339236
148,4.201272697931423e-06
149,0.00012561551958272887
150,3.0262856367807317e-05
151,0.00023538027120420833
152,0.0003428447589707777
153,0.0015789472647482158
154,0.0004296282715887446
155,0.0004268695539705202
156,3.3285285160277814e-05
